0	0.633882
0.1	0.659254
0.2	0.675846
0.3	0.650427
0.4	0.577696
0.5	0.517747
0.6	0.448302
0.7	0.385877
0.8	0.363175
0.9	0.411545
1	0.442286
1.1	0.46511
1.2	0.472379
1.3	0.487944
1.4	0.509987
1.5	0.532208
1.6	0.55617
1.7	0.573813
1.8	0.5894
1.9	0.562756
2	0.529543
2.1	0.499547
2.2	0.487139
2.3	0.478567
2.4	0.46005
2.5	0.501093
2.6	0.547504
2.7	0.594576
2.8	0.619168
2.9	0.61827
3	0.611985
3.1	0.603797
3.2	0.597782
3.3	0.594504
3.4	0.597439
3.5	0.544664
3.6	0.475184
3.7	0.393967
3.8	0.322254
3.9	0.291076
4	0.28574
4.1	0.385273
4.2	0.459043
4.3	0.51404
4.4	0.551855
4.5	0.586725
4.6	0.610983
4.7	0.624716
4.8	0.638589
4.9	0.646889
5	0.647304
5.1	0.593062
5.2	0.544288
5.3	0.498903
5.4	0.454025
5.5	0.409345
5.6	0.373653
5.7	0.479021
5.8	0.56246
5.9	0.611673
6	0.640128
6.1	0.658901
6.2	0.679009
6.3	0.679959
6.4	0.680865
6.5	0.683663
6.6	0.68488
6.7	0.601816
6.8	0.51135
6.9	0.448134
7	0.418276
7.1	0.389667
7.2	0.356915
7.3	0.436635
7.4	0.497091
7.5	0.520407
7.6	0.536089
7.7	0.55119
7.8	0.566243
7.9	0.579049
8	0.576841
8.1	0.575343
8.2	0.577136
8.3	0.528127
8.4	0.482858
8.5	0.458035
8.6	0.44659
8.7	0.429277
8.8	0.43168
8.9	0.525814
9	0.591455
9.1	0.627506
9.2	0.636501
9.3	0.625273
9.4	0.623732
9.5	0.629523
9.6	0.632771
9.7	0.639754
9.8	0.629046
9.9	0.53389
10	0.44626
10.1	0.388321
10.2	0.362714
10.3	0.36253
10.4	0.400567
10.5	0.464704
10.6	0.516229
10.7	0.549374
10.8	0.567943
10.9	0.574199
11	0.577823
11.1	0.585333
11.2	0.586345
11.3	0.592164
11.4	0.565781
11.5	0.512132
11.6	0.453415
11.7	0.402433
11.8	0.375018
11.9	0.380914
12	0.601289
12.1	1.39978
12.2	1.8736
12.3	2.22608
12.4	2.51044
12.5	2.74857
12.6	2.94835
12.7	3.12906
12.8	3.29141
12.9	3.4319
13	3.52247
13.1	3.4049
13.2	3.29161
13.3	3.18419
13.4	3.08155
13.5	2.9814
13.6	2.90505
13.7	2.82258
13.8	2.74123
13.9	2.67045
14	2.60649
14.1	2.54112
14.2	2.47305
14.3	2.40625
14.4	2.34424
14.5	2.28726
14.6	2.21457
14.7	2.15129
14.8	2.08887
14.9	2.02686
15	1.97122
15.1	1.9252
15.2	1.8938
15.3	1.87186
15.4	1.85057
15.5	1.82819
15.6	1.8001
15.7	1.76772
15.8	1.7349
15.9	1.70329
16	1.67478
16.1	1.64705
16.2	1.60322
16.3	1.55315
16.4	1.49851
16.5	1.44857
16.6	1.40944
16.7	1.37907
16.8	1.38922
16.9	1.38753
17	1.37696
17.1	1.36616
17.2	1.34751
17.3	1.3223
17.4	1.29949
17.5	1.27666
